instance,method,value,execution_time,run
gr17.json,ACO,"2098	0,6,16,7,5,13,14,2,10,9,1,4,8,11,15,3,12",0.5993971824645996,10
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9095F5C8>, <deap.tools.support.Statistics object at 0x0000023F902E4608>)",0.27726054191589355,1
gr24.json,ACO,"1321	0,11,3,22,12,8,13,19,1,14,18,21,17,16,9,20,7,4,23,5,6,2,10,15",1.588320016860962,1
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F8FE4AF48>, <deap.tools.support.Statistics object at 0x0000023F9187C048>)",0.2219712734222412,2
gr24.json,ACO,"1278	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,23,5,6,7,20,2,10,15",1.5568456649780273,2
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9179E288>, <deap.tools.support.Statistics object at 0x0000023F917C5F48>)",0.21951770782470703,3
gr24.json,ACO,"1299	0,15,5,23,6,7,2,10,20,4,9,16,21,17,18,14,1,19,13,12,8,22,3,11",1.662477731704712,3
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90538C88>, <deap.tools.support.Statistics object at 0x0000023F9096B888>)",0.24637103080749512,4
gr24.json,ACO,"1278	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,23,5,6,7,20,2,10,15",1.6326382160186768,4
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F902CE408>, <deap.tools.support.Statistics object at 0x0000023F90C77EC8>)",0.2433474063873291,5
gr24.json,ACO,"1306	0,11,3,22,8,12,13,19,1,14,18,21,17,16,9,20,10,2,6,7,4,23,5,15",1.6214830875396729,5
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F91870C08>, <deap.tools.support.Statistics object at 0x0000023F8E27F688>)",0.21768665313720703,6
gr24.json,ACO,"1322	0,15,5,23,6,7,2,10,20,4,9,16,21,17,18,14,1,19,13,12,8,22,11,3",1.583632230758667,6
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90218D08>, <deap.tools.support.Statistics object at 0x0000023F903AA048>)",0.24657511711120605,7
gr24.json,ACO,"1332	0,15,6,7,2,10,5,23,4,20,9,16,21,17,18,14,1,19,13,12,8,22,3,11",1.5912141799926758,7
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90333488>, <deap.tools.support.Statistics object at 0x0000023F9174FBC8>)",0.2952125072479248,8
gr24.json,ACO,"1278	0,15,10,2,20,7,6,5,23,4,9,16,17,21,18,14,1,19,13,12,8,22,3,11",1.6306397914886475,8
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90618248>, <deap.tools.support.Statistics object at 0x0000023F917A93C8>)",0.215423583984375,9
gr24.json,ACO,"1279	0,15,10,2,7,6,5,23,20,4,9,16,21,17,18,14,1,19,13,12,8,22,3,11",1.622798204421997,9
gr24.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9024E108>, <deap.tools.support.Statistics object at 0x0000023F917C5EC8>)",0.2400507926940918,10
gr24.json,ACO,"1298	0,15,10,2,23,5,6,7,20,4,9,16,21,17,18,14,1,19,13,12,8,22,3,11",1.7148737907409668,10
